Chunk,Strategy,Explanation
0,Back Translation + BERT,"Chunk 00 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
1,Back Translation + BERT,"Chunk 01 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
2,Back Translation + BERT,"Chunk 02 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
3,Back Translation + BERT,"Chunk 03 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
4,Back Translation + BERT,"Chunk 04 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
5,Back Translation + BERT,"Chunk 05 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
6,Back Translation + BERT,"Chunk 06 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
7,Back Translation + BERT,"Chunk 07 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
8,Back Translation + BERT,"Chunk 08 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
9,Back Translation + BERT,"Chunk 09 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
10,Back Translation + BERT,"Chunk 10 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
11,Back Translation + BERT,"Chunk 11 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
12,Back Translation + BERT,"Chunk 12 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
13,Back Translation + BERT,"Chunk 13 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
14,Back Translation + BERT,"Chunk 14 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
15,Back Translation + BERT,"Chunk 15 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
16,Back Translation + BERT,"Chunk 16 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
17,Back Translation + BERT,"Chunk 17 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
18,Back Translation + BERT,"Chunk 18 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
19,Back Translation + BERT,"Chunk 19 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
20,Back Translation + BERT,"Chunk 20 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
21,Back Translation + BERT,"Chunk 21 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
22,Back Translation + BERT,"Chunk 22 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
23,Back Translation + BERT,"Chunk 23 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
24,Back Translation + BERT,"Chunk 24 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
25,Back Translation + BERT,"Chunk 25 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
26,Back Translation + BERT,"Chunk 26 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
27,Back Translation + BERT,"Chunk 27 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
28,Back Translation + BERT,"Chunk 28 | Selected Policy: Back Translation + BERT. Reason: low structural complexity, high semantic risk."
